"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/EGI","EGI","Duke Field","US","FL","","VPS","QHF",9,30.65,-86.52
"ap/EGM","EGM","Sege Arpt","SB","","","EGM","QHF",3,-8.56,157.86
"ap/EGO","EGO","Belgorod Arpt","RU","","","EGO","QHF",9,50.63,36.6
"ap/EGP","EGP","Maverick County Arpt","US","TX","","EGP","",9,28.86,-100.53
"ap/EGS","EGS","Egilsstadir Arpt","IS","","","EGS","",2,65.27,-14.4
"ap/EGV","EGV","Eagle River Union Arpt","US","WI","","EGV","",2,45.93,-89.26
"ap/EHL","EHL","El Bolson Arpt","AR","","","EHL","QHF",2,-41.96,-71.51
"ap/EHT","EHT","Rentschler Arpt","US","CT","","EHT","",9,41.76,-72.65
"ap/EIB","EIB","Eisenach Arpt","DE","","","EIB","",9,50.98,10.48
"ap/EIN","EIN","Welschap Arpt","NL","","","EIN","",2,51.44,5.38
"ap/EIS","EIS","Beef Island Arpt","VG","","","EIS","",2,18.45,-64.55
"ap/EJA","EJA","Variguies Arpt","CO","","","EJA","QHF",2,7.01,-73.79
"ap/EKI","EKI","Elkhart Municipal Arpt","US","IN","","EKI","",9,41.75,-85.99
"ap/EKN","EKN","Randolph County Arpt","US","WV","","EKN","",9,38.92,-79.85
"ap/EKO","EKO","J C Harris Field","US","NV","","EKO","",2,40.82,-115.78
"ap/EKT","EKT","Eskilstuna Arpt","SE","","","EKT","",2,59.38,16.45
"ap/EKX","EKX","Addington Field","US","KY","","EKX","",9,37.68,-85.92
"ap/ELD","ELD","Goodwin Field","US","AR","","ELD","",2,33.21,-92.81
"ap/ELH","ELH","North Eleuthera Intl","BS","","","ELH","",2,25.48,-76.68
"ap/ELK","ELK","Elk City Municipal","US","OK","","ELK","",9,35.41,-99.4
"ap/ELM","ELM","Elmira Corning Regional Arpt","US","NY","","ELM","",2,42.16,-76.89
"ap/ELP","ELP","El Paso Intl Arpt","US","TX","","ELP","",2,31.79,-106.39
"ap/ELQ","ELQ","Gassim Arpt","SA","","","ELQ","QHF",2,26.3,43.77
"ap/ELS","ELS","East London Arpt","ZA","","","ELS","",2,-33.03,27.82
"ap/ELY","ELY","Yelland Field","US","NV","","ELY","",2,39.29,-114.84
"ap/EMA","EMA","East Midlands Arpt","GB","","","XNM","",2,52.82,-1.32
"ap/EMD","EMD","Emerald Arpt","AU","QL","","EMD","QHF",2,-23.57,148.18
"ap/EMT","EMT","El Monte Arpt","US","CA","","EMT","",9,34.08,-118.03
"ap/ENA","ENA","Kenai Municipal Arpt","US","AK","","ENA","QHF",2,60.56,-151.24
"ap/ENC","ENC","Essey Airport","FR","","","ENC","",9,48.69,6.23
"ap/ENK","ENK","St Angelo Arpt","IE","","","ENK","",9,54.35,-7.63
"ap/ENL","ENL","Centralia Municipal Arpt","US","IL","","ENL","",9,38.51,-89.09
"ap/ENS","ENS","Twente Airport","NL","","","ENS","",2,52.27,6.87
"ap/ENW","ENW","Kenosha Municipal Arpt","US","WI","","ENW","",2,42.56,-87.85
"ap/ENY","ENY","Yanan Arpt","CN","","","ENY","QHF",3,36.63,109.55
"ap/EOH","EOH","Enrique Olaya Herrara","CO","","","MDE","",2,6.21,-75.58
"ap/EOI","EOI","Eday Arpt","GB","","","EOI","",2,59.2,-2.78
"ap/EOK","EOK","Keokuk Arpt","US","IA","","EOK","",9,40.45,-91.42
"ap/EPL","EPL","Mirecourt Arpt","FR","","","EPL","",2,48.18,6.45
"ap/EPR","EPR","Esperance Arpt","AU","WA","","EPR","QHF",2,-33.86,121.9
"ap/EPS","EPS","El Portillo Arpt","DO","","","EPS","",2,19.25,-69.5
"ap/EPU","EPU","Parnu Arpt","EE","","","EPU","QHF",2,58.41,24.47
"ap/EQS","EQS","Esquel Airport","AR","","","EQS","",2,-42.9,-71.13
"ap/ERC","ERC","Erzincan Arpt","TR","","","ERC","",2,39.71,39.51
"ap/ERF","ERF","Erfurt Arpt","DE","","","ERF","",2,50.98,10.96
"ap/ERI","ERI","Erie Intl","US","PA","","ERI","",2,42.07,-80.18
"ap/ERS","ERS","Eros Arpt","NA","","","WDH","",2,-22.61,17.08
"ap/ERZ","ERZ","Erzurum Arpt","TR","","","ERZ","QHF",2,39.95,41.17
"ap/ESB","ESB","Esenboga Arpt","TR","","","ANK","",2,40.13,33
"ap/ESC","ESC","Delta County","US","MI","","ESC","",2,45.71,-87.08
"ap/ESD","ESD","Eastsound Orcas Is Arpt","US","WA","","ESD","",2,48.7,-122.91
"ap/ESE","ESE","Ensenada Arpt","MX","","","ESE","",9,31.8,-116.6
"ap/ESF","ESF","Esler Field","US","LA","","AEX","",9,31.39,-92.3
"ap/ESL","ESL","Elista Arpt","RU","","","ESL","",2,46.3,44.23
"ap/ESN","ESN","Easton Municipal Arpt","US","MD","","ESN","",9,38.8,-76.06
"ap/ESP","ESP","Birchwood Pocono Arpt","US","PA","","ESP","",9,41.06,-75.02
"ap/ESR","ESR","El Salvador Arpt","CL","","","ESR","",2,-26.31,-69.76
"ap/ESS","ESS","Essen Arpt","DE","","","ESS","",2,51.36,6.95
"ap/ESU","ESU","Essaouira Arpt","MA","","","ESU","",9,31.4,-9.68
"ap/ETB","ETB","West Bend Arpt","US","WI","","ETB","",9,43.42,-88.12
"ap/ETH","ETH","Elat Airport","IL","","","ETH","",2,29.5,34.92
"ap/ETS","ETS","Enterprise Municipal","US","AL","","ETS","",9,31.29,-85.9
"ap/ETZ","ETZ","Metz Nancy Lorraine","FR","","","MZM","",2,48.98,6.25
"ap/EUF","EUF","Weedon Field","US","AL","","EUF","",9,31.95,-85.12
"ap/EUG","EUG","Eugene Arpt","US","OR","","EUG","",2,44.12,-123.21
"ap/EUN","EUN","Hassan I Arpt","MA","","","EUN","",2,27.15,-13.2
"ap/EUX","EUX","Roosevelt Field","AN","","","EUX","",2,17.5,-62.96
"ap/EVE","EVE","Evenes Arpt","NO","","","EVE","",2,68.46,16.7
"ap/EVG","EVG","Sveg Arpt","SE","","","EVG","",2,62.03,14.33
"ap/EVM","EVM","Eveleth Virginia Municipal Arpt","US","MN","","EVM","",9,47.42,-92.49
"ap/EVN","EVN","Yerevan Arpt","AM","","","EVN","",2,40.15,44.4
"ap/EVV","EVV","Evansville Regional Arpt","US","IN","","EVV","",2,38.03,-87.53
"ap/EVW","EVW","Evanston Arpt","US","WY","","EVW","QHF",9,41.26,-111.03
"ap/EVX","EVX","Evreux Arpt","FR","","","EVX","",9,49.05,1.18
"ap/EWB","EWB","New Bedford Municipal","US","MA","","EWB","",2,41.68,-70.96
"ap/EWK","EWK","Newton City County Arpt","US","KS","","EWK","",9,38.05,-97.27
"ap/EWN","EWN","Simmons Nott Arpt","US","NC","","EWN","",2,35.07,-77.04
"ap/EWR","EWR","New York - Newark airport","US","NJ","","EWR","QHF",2,40.69,-74.17
"ap/EXI","EXI","Excursion Inlet Municipal","US","AK","","EXI","",2,58.41,-135.43
"ap/EXM","EXM","Exmouth Gulf","AU","WA","","EXM","QHF",9,-22.38,114.1
"ap/EXT","EXT","Exeter Arpt","GB","","","EXT","",2,50.73,-3.41
"ap/EYW","EYW","Key West Intl","US","FL","","EYW","",2,24.55,-81.75
"ap/EZE","EZE","Ministro Pistarini","AR","","BUE","BUE","",2,-34.81,-58.54
"ap/EZS","EZS","Elazig Arpt","TR","","","EZS","",2,38.6,39.29
"ap/FAB","FAB","Farnborough Arpt","GB","","","FAB","QHF",9,51.28,-0.76
"ap/FAE","FAE","Faeroe Airport","DK","","","FAE","",2,62.06,-7.26
"ap/FAI","FAI","Fairbanks Intl Arpt","US","AK","","FAI","",2,64.81,-147.85
"ap/FAJ","FAJ","Fajardo Arpt","US","PR","","FAJ","",2,18.38,-65.75
"ap/FAO","FAO","Faro Airport","PT","","","FAO","",2,37.01,-7.96
"ap/FAR","FAR","Hector Airport","US","ND","","FAR","",2,46.9,-96.8
"ap/FAT","FAT","Fresno Air Terminal","US","CA","","FAT","",2,36.76,-119.71
"ap/FAY","FAY","Fayetteville Municipal","US","NC","","FAY","",2,34.99,-78.88
"ap/FBM","FBM","Luano","CD","","","FBM","",2,-11.58,27.51
"ap/FCA","FCA","Glacier Park Intl","US","MT","","FCA","",2,48.3,-114.25
"ap/FCB","FCB","Ficksburg Sentra Oes","ZA","","","FCB","",9,-28.82,27.9
"ap/FCH","FCH","Fresno Chandler Arpt","US","CA","","FAT","",9,36.73,-119.81
"ap/FCM","FCM","Flying Cloud Arpt","US","MN","","MSP","",9,44.82,-93.45
"ap/FCN","FCN","Cuxhaven Nordholz Arpt","DE","","","FCN","QHF",9,53.76,8.65
"ap/FCO","FCO","Fiumicino Arpt","IT","","ROM","ROM","",1,41.81,12.25
"ap/FCY","FCY","Forrest City Municipal Arpt","US","AR","","FCY","",9,34.94,-90.77
"ap/FDE","FDE","Bringeland Arpt","NO","","","FDE","QHF",2,61.45,5.84
"ap/FDF","FDF","Lamentin Arpt","MQ","","","FDF","",2,14.58,-61
"ap/FDH","FDH","Friedrichshafen Lowenthal","DE","","","FDH","",2,47.66,9.51
"ap/FDK","FDK","Frederick Municipal","US","MD","","FDK","",9,39.41,-77.38
"ap/FEN","FEN","Fernando De Noronha Arpt","BR","","","FEN","",2,-3.85,-32.41
"ap/FEZ","FEZ","Fez Airport","MA","","","FEZ","",2,34,-4.85
"ap/FFM","FFM","Fergus Falls Municipal","US","MN","","FFM","",9,46.28,-96.15
"ap/FGI","FGI","Fagali Arpt","WS","","","APW","QHF",2,-13.84,-171.74
"ap/FHU","FHU","Sierra Vista Municipal","US","AZ","","FHU","",2,31.58,-110.34
"ap/FIE","FIE","Fair Isle Arpt","GB","","","FIE","",2,59.5,-1.66
"ap/FIH","FIH","Kinshasa Arpt","CD","","","FIH","",2,-4.38,15.43
"ap/FJR","FJR","Fujairah Intl Arpt","AE","","","FJR","QHF",2,25.11,56.33
"ap/FKB","FKB","Soellingen Arpt","DE","","","FKB","",2,48.78,8.08
"ap/FKL","FKL","Chess Lamberton Arpt","US","PA","","FKL","",2,41.37,-79.85
"ap/FKS","FKS","Fukushima Arpt","JP","","","FKS","",2,37.22,140.43
"ap/FLB","FLB","Cangapara Arpt","BR","","","FLB","",9,-6.83,-43
"ap/FLC","FLC","Falls Creek Arpt","AU","","","FLC","QHF",9,-34.98,150.6
"ap/FLF","FLF","Schaferhaus Arpt","DE","","","FLF","QHF",9,54.77,9.37
"ap/FLG","FLG","Flagstaff Arpt","US","AZ","","FLG","",2,35.13,-111.67
"ap/FLL","FLL","Ft Lauderdale Hollywood Intl Arpt","US","FL","QMI","FLL","",2,26.07,-80.14
"ap/FLN","FLN","Hercilio Luz Arpt","BR","","","FLN","",2,-27.66,-48.55
"ap/FLO","FLO","Gilbert Field","US","SC","","FLO","",2,34.19,-79.72
"ap/FLP","FLP","Flippin Arpt","US","AR","","FLP","QHF",2,36.3,-92.58
"ap/FLR","FLR","Amerigo Vespucci Arpt","IT","","","FLR","",2,43.8,11.2
"ap/FLW","FLW","Aerodromo Das Flores","PT","","","FLW","",2,39.46,-31.15
"ap/FLX","FLX","Fallon Municipal Arpt","US","NV","","NFL","",9,39.49,-118.74
"ap/FMA","FMA","El Pucu Arpt","AR","","","FMA","",2,-26.2,-58.23
"ap/FMH","FMH","Otis AFB","US","MA","","FMH","",9,41.56,-70.63
"ap/FMN","FMN","Four Corners Regional Arpt","US","NM","","FMN","",2,36.73,-108.22
"ap/FMO","FMO","Muenster Airport","DE","","","FMO","",2,52.13,7.68
"ap/FMS","FMS","Fort Madison Municipal","US","IA","","FMS","",9,40.65,-91.31
"ap/FMY","FMY","Page Field","US","FL","","FMY","",2,26.59,-81.85
"ap/FNA","FNA","Lungi Intl Arpt","SL","","","FNA","QHF",2,8.61,-13.19
"ap/FNC","FNC","Madeira Arpt","PT","","","FNC","QHF",2,32.68,-16.77
"ap/FNI","FNI","Nimes Airport","FR","","","FNI","",2,43.74,4.41
"ap/FNJ","FNJ","Sunan Arpt","KP","","","FNJ","",2,39.03,125.78
"ap/FNL","FNL","Municipal Airport","US","CO","","FNL","",3,40.45,-105
"ap/FNT","FNT","Bishop Intl Arpt","US","MI","","FNT","",2,42.97,-83.73
"ap/FOC","FOC","Fuzhou Arpt","CN","","","FOC","QHF",2,26.1,119.28
"ap/FOD","FOD","Ft Dodge Municipal","US","IA","","FOD","",2,42.55,-94.18
"ap/FOE","FOE","Forbes Field","US","KS","","TOP","",2,38.95,-95.66
"ap/FOG","FOG","Gino Lisa Arpt","IT","","","FOG","",2,41.41,15.53
"ap/FOK","FOK","Suffolk County Arpt","US","NY","","FOK","QHF",9,40.83,-72.61
"ap/FOR","FOR","Pinto Martines Arpt","BR","","","FOR","",2,-3.77,-38.54
"ap/FOT","FOT","Forster","AU","NS","","FOT","QHF",9,-32.18,152.51
"ap/FPO","FPO","Grand Bahama Intl Arpt","BS","","","FPO","",2,26.55,-78.69
"ap/FPR","FPR","St Lucie County Arpt","US","FL","","FPR","",2,27.49,-80.36
"ap/FRA","FRA","Frankfurt Intl","DE","","","FRA","",2,50.04,8.57
"ap/FRD","FRD","Friday Harbor Airport","US","WA","","FRD","",2,48.52,-123.02
"ap/FRG","FRG","Republic Arpt","US","NY","","FRG","",9,40.73,-73.41
"ap/FRJ","FRJ","Frejus Arpt","FR","","","FRJ","",9,43.41,6.73
"ap/FRL","FRL","Luigi Ridolfi Arpt","IT","","","FRL","",9,44.21,12.05
"ap/FRM","FRM","Fairmont Municipal","US","MN","","FRM","",9,43.63,-94.4
"ap/FRO","FRO","Flora Arpt","NO","","","FRO","",2,61.58,5
"ap/FRR","FRR","Warren County Arpt","US","VA","","FRR","",9,38.91,-78.24
"ap/FRS","FRS","Flores Airport","GT","","","FRS","",2,16.91,-89.88
"ap/FRU","FRU","Bishkek Arpt","KG","","","FRU","",2,42.86,74.76
"ap/FRW","FRW","Francistown Arpt","BW","","","FRW","",2,-21.16,27.47
"ap/FRZ","FRZ","Fritzlar Airbase","DE","","","FRZ","",9,51.1,9.28
"ap/FSC","FSC","Sud Corse Arpt","FR","","","FSC","",2,41.83,9.08
"ap/FSD","FSD","Joe Foss Field","US","SD","","FSD","",2,43.58,-96.73
"ap/FSM","FSM","Ft Smith Municipal","US","AR","","FSM","",2,35.33,-94.36
"ap/FST","FST","Pecos County Arpt","US","TX","","FST","",9,30.91,-102.92
"ap/FTE","FTE","El Calafate Arpt","AR","","","FTE","",2,-50.27,-72.05
"ap/FTW","FTW","Meacham Field","US","TX","","FTW","",9,32.82,-97.36
"ap/FTY","FTY","Fulton Cty Arpt","US","GA","","ATL","",9,33.46,-84.31
"ap/FUE","FUE","Fuerteventura Arpt","ES","","","FUE","",2,28.45,-13.86
"ap/FUJ","FUJ","Fukue Arpt","JP","","","FUJ","QHF",2,32.66,128.83
"ap/FUK","FUK","Itazuke Arpt","JP","","","FUK","",2,33.58,130.45
"ap/FUL","FUL","Fullerton Municipal Arpt","US","CA","","FUL","",9,33.87,-117.97
"ap/FUN","FUN","Funafuti Intl Arpt","TV","","","FUN","",2,-8.53,179.2
"ap/FWA","FWA","Baer Field","US","IN","","FWA","",2,40.98,-85.14
"ap/FWM","FWM","Fort William Arpt","GB","","","FWM","",2,56.82,-5.1
"ap/FXE","FXE","Ft Lauderdale Excutive","US","FL","","FLL","",9,26.19,-80.17
"ap/FYV","FYV","Fayetteville Municipal Arpt","US","AR","","FYV","",2,36,-94.17
"ap/GAD","GAD","Gadsden Municipal","US","AL","","GAD","",9,33.97,-86.08
"ap/GAI","GAI","Montgomery Cty Arpt","US","MD","","GAI","",9,39.14,-77.2
"ap/GAJ","GAJ","Yamagata Airport","JP","","","GAJ","",2,38.41,140.37
"ap/GAL","GAL","Galena Arpt","US","AK","","GAL","",2,64.73,-156.93
"ap/GAR","GAR","Garaina Arpt","PG","","","GAR","QHF",9,-7.87,147.13
"ap/GAT","GAT","Tallard Arpt","FR","","","GAT","",9,44.45,6.01
"ap/GAU","GAU","Borjhar Arpt","IN","","","GAU","",2,26.1,91.58
"ap/GAY","GAY","Gaya Arpt","IN","","","GAY","",2,24.75,84.95
"ap/GBD","GBD","Greate Bend Municipal","US","KS","","GBD","",2,38.35,-98.85
"ap/GBE","GBE","Gaborone Arpt","BW","","","GBE","",2,-24.59,25.83
"ap/GBG","GBG","Galesburg Arpt","US","IL","","GBG","",9,40.94,-90.43
"ap/GBK","GBK","Gbangbatok Arpt","SL","","","GBK","",9,7.8,-12.38
"ap/GBN","GBN","San Giovanni Rotondo Arpt","IT","","","GBN","QHF",9,41.7,15.73
"ap/GBQ","GBQ","Muharraq Arpt","BH","","","BAH","QHF",3,26.25,50.61
"ap/GBR","GBR","Great Barrington Arpt","US","MA","","GBR","",9,42.18,-73.4
"ap/GBZ","GBZ","Great Barrier Island Arpt","NZ","","","GBZ","",9,-36.16,175.33
"ap/GCC","GCC","Campbell Cty Arpt","US","WY","","GCC","",2,44.34,-105.53
"ap/GCI","GCI","Guernsey Arpt","GB","","","GCI","QHF",2,49.43,-2.6
"ap/GCJ","GCJ","Grand Central Arpt","ZA","","","JNB","QHF",9,-26.98,28.14
"ap/GCK","GCK","Garden City Municipal","US","KS","","GCK","",2,37.92,-100.71
"ap/GCM","GCM","Owen Roberts Arpt","KY","","","GCM","",2,19.29,-81.36
"ap/GCN","GCN","Grand Canyon Natl Park Arpt","US","AZ","","GCN","",2,35.95,-112.13
"ap/GCV","GCV","Gravatai Arpt","BR","","","GCV","QHF",9,-29.94,-50.99
"ap/GCY","GCY","Municipal Greeneville Arpt","US","TN","","GCY","QHF",2,36.19,-82.81
"ap/GDL","GDL","Miguel Hidalgo Arpt","MX","","","GDL","",2,20.52,-103.31
"ap/GDN","GDN","Rebiechowo","PL","","","GDN","QHF",2,54.37,18.46
"ap/GDT","GDT","Grand Turk Is Arpt","TC","","","GDT","QHF",2,21.44,-71.14
"ap/GDX","GDX","Magadan Arpt","RU","","","GDX","",2,59.91,150.71
"ap/GEA","GEA","Magenta Arpt","NC","","","NOU","",2,-22.26,166.47
"ap/GED","GED","Sussex County Arpt","US","DE","","GED","",9,38.69,-75.38
"ap/GEG","GEG","Spokane Intl Arpt","US","WA","","GEG","",2,47.62,-117.53
"ap/GEO","GEO","Cheddi Jagan Intl","GY","","","GEO","QHF",2,6.5,-58.25
"ap/GER","GER","Rafael Cabrera Arpt","CU","","","GER","",2,21.83,-82.78
"ap/GES","GES","Buayan Arpt","PH","","","GES","QHF",2,6.1,125.23
"ap/GET","GET","Geraldton Arpt","AU","WA","","GET","QHF",2,-28.79,114.7
"ap/GEV","GEV","Gallivare Arpt","SE","","","GEV","",2,67.11,20.98
"ap/GEX","GEX","Geelong Arpt","AU","VI","","GEX","QHF",9,-38.13,144.35
"ap/GFD","GFD","Pope Field Arpt","US","IN","","GFD","",9,39.79,-85.73
"ap/GFF","GFF","Griffith Arpt","AU","NS","","GFF","QHF",2,-34.25,146.06
"ap/GFK","GFK","Grand Forks Mark Andrews Intl","US","ND","","GFK","",2,47.94,-97.17
"ap/GFL","GFL","Warren County","US","NY","","GFL","",9,43.33,-73.6
"ap/GFN","GFN","Grafton Arpt","AU","NS","","GFN","QHF",2,-29.75,153.03
"ap/GGE","GGE","George Town Arpt","US","SC","","MYR","",9,33.3,-79.31
"ap/GGG","GGG","Greg County Arpt","US","TX","","GGG","",2,32.38,-94.71
"ap/GGT","GGT","George Town Airport","BS","","","GGT","QHF",2,23.46,-75.78
"ap/GGW","GGW","International Glasgow","US","MT","","GGW","",2,48.19,-106.63
"ap/GHA","GHA","Noumerate Arpt","DZ","","","GHA","",2,32.38,3.8
"ap/GHB","GHB","Governors Harbour Municipal Arpt","BS","","","GHB","",2,25.15,-76.18
"ap/GIB","GIB","North Front Arpt","GI","","","GIB","",2,36.15,-5.35
"ap/GIC","GIC","Boigu Island Arpt","AU","QL","","GIC","QHF",2,-9.26,142.2
"ap/GIF","GIF","Gilbert Fld","US","FL","","GIF","",9,28.06,-81.75
"ap/GIG","GIG","Rio Internacional","BR","","RIO","RIO","",2,-22.8,-43.26
"ap/GIL","GIL","Gilgit Arpt","PK","","","GIL","",2,35.91,74.38
"ap/GIS","GIS","Gisborne Arpt","NZ","","","GIS","",2,-38.66,178.01
"ap/GIZ","GIZ","Gizan Aprt","SA","","","GIZ","",2,16.93,42.56
"ap/GJT","GJT","Walker Field Arpt","US","CO","","GJT","",2,39.12,-108.52
"ap/GKA","GKA","Goroka Arpt","PG","","","GKA","",2,-6.05,145.38
"ap/GKT","GKT","Gatlinburg Arpt","US","TN","","GKT","",9,35.71,-83.51
"ap/GLA","GLA","Glasgow Intl","GB","","GLA","GLA","",2,55.86,-4.43
"ap/GLD","GLD","Goodland Municipal","US","KS","","GLD","",9,39.37,-101.7
"ap/GLE","GLE","Gainesville Municipal Arpt","US","TX","","GLE","",9,33.65,-97.2
"ap/GLH","GLH","Greenville Municipal","US","MS","","GLH","",2,33.48,-90.99
"ap/GLI","GLI","Glen Innes Arpt","AU","NS","","GLI","QHF",2,-29.73,151.73
"ap/GLL","GLL","Klanten Arpt","NO","","","GLL","",2,60.78,9.05
"ap/GLO","GLO","Staverton Arpt","GB","","","GLO","",9,51.89,-2.16
"ap/GLR","GLR","Otsego Arpt","US","MI","","GLR","",9,45.02,-84.67
"ap/GLS","GLS","Scholes Field","US","TX","","GLS","",9,29.26,-94.85
"ap/GLT","GLT","Gladstone Airport","AU","QL","","GLT","QHF",2,-23.87,151.22
"ap/GLW","GLW","Glasgow Municipal Arpt","US","KY","","GLW","QHF",2,37.03,-85.95
"ap/GME","GME","Gomel Arpt","BY","","","GME","",9,52.41,31
"ap/GMP","GMP","Gimpo Intl Arpt","KR","","","SEL","",2,37.55,126.79
"ap/GMU","GMU","Greenville Downtown Arpt","US","SC","","GSP","",9,34.84,-82.35
"ap/GMZ","GMZ","La Gomera Arpt","ES","","","GMZ","QHF",2,28.02,17.21
"ap/GNA","GNA","Grodna Arpt","BY","","","GNA","",9,53.66,23.81
"ap/GNB","GNB","Saint Geoirs Arpt","FR","","","GNB","",2,45.36,5.32
"ap/GND","GND","Port Saline Intl","GD","","","GND","QHF",2,12,-61.78
"ap/GNS","GNS","Gunungsitoli Arpt","ID","","","GNS","",9,1.28,97.61
"ap/GNV","GNV","Gainesville Regional","US","FL","","GNV","",2,29.69,-82.27
"ap/GNY","GNY","Guney Anadolu Airport","TR","","","GNY","QHF",9,37.43,38.88
"ap/GOA","GOA","Christoforo Colombo","IT","","","GOA","",2,44.41,8.83
"ap/GOH","GOH","Nuuk Arpt","GL","","","GOH","QHF",2,64.19,-51.68
"ap/GOI","GOI","Dabolim Arpt","IN","","","GOI","QHF",2,15.38,73.82
"ap/GOJ","GOJ","Nizhniy Novgorod Arpt","RU","","","GOJ","",2,56.33,44
"ap/GON","GON","Groton New London Arpt","US","CT","","GON","",2,41.33,-72.04
"ap/GOO","GOO","Goondiwindi Arpt","AU","QL","","GOO","QHF",9,-28.51,150.31
"ap/GOT","GOT","Landvetter Arpt","SE","","","GOT","",2,57.66,12.29
"ap/GOU","GOU","Garoua Arpt","CM","","","GOU","",2,9.33,13.37
"ap/GOV","GOV","Nhulunbuy Arpt","AU","NT","","GOV","QHF",2,-12.16,136.66
"ap/GPA","GPA","Araxos Arpt","GR","","","GPA","QHF",2,38.15,21.42
"ap/GPS","GPS","Baltra Arpt","EC","","","GPS","",9,-0.43,-90.28
"ap/GPT","GPT","Biloxi Regional Arpt","US","MS","","GPT","",2,30.4,-89.06
"ap/GPZ","GPZ","Itasca County","US","MN","","GPZ","",2,47.21,-93.51
"ap/GQQ","GQQ","Galion Municipal Arpt","US","OH","","GQQ","",9,40.75,-82.72
"ap/GRB","GRB","Austin Straubel Fld","US","WI","","GRB","",2,44.49,-88.12
"ap/GRI","GRI","Hall Cty Regional","US","NE","","GRI","",2,40.97,-98.31
"ap/GRJ","GRJ","George Arpt","ZA","","","GRJ","",2,-33.96,22.41
"ap/GRK","GRK","Gray AAF","US","TX","","ILE","QHF",2,31.11,-97.75
"ap/GRO","GRO","Costa Brava Arpt","ES","","","GRO","",2,41.9,2.75
"ap/GRQ","GRQ","Eelde Arpt","NL","","","GRQ","",9,53.13,6.58
"ap/GRR","GRR","Kent County Intl","US","MI","","GRR","",2,42.88,-85.53
"ap/GRS","GRS","Baccarini Arpt","IT","","","GRS","QHF",9,42.76,11.07
"ap/GRU","GRU","Guarulhos Arpt","BR","","SAO","SAO","",2,-23.43,-46.47
"ap/GRW","GRW","Graciosa Arpt","PT","","","GRW","",2,39.06,-28
"ap/GRX","GRX","Granada Arpt","ES","","","GRX","",2,37.18,-3.78
"ap/GRZ","GRZ","Thalerhof Arpt","AT","","","GRZ","",2,46.99,15.43
"ap/GSB","GSB","Seymour Johnson AFB","US","NC","","GSB","",9,35,-78
"ap/GSE","GSE","Saeve Arpt","SE","","","GOT","QHF",2,57.77,11.87
"ap/GSO","GSO","Piedmont Triad Intl","US","NC","","GSO","",2,36.09,-79.95
"ap/GSP","GSP","Greenville Spartanburg Arpt","US","SC","","GSP","",2,34.89,-82.21
"ap/GST","GST","Gustavus Arpt","US","AK","","GST","",2,58.42,-135.7
"ap/GSY","GSY","Binbrook Arpt","GB","","","GSY","",2,53.44,-0.2
"ap/GTF","GTF","Great Falls Intl Arpt","US","MT","","GTF","",2,47.48,-111.35
"ap/GTI","GTI","Guettin Arpt","DE","","","GTI","QHF",9,54.38,13.32
"ap/GTR","GTR","Golden Arpt","US","MS","","GTR","",2,33.45,-88.58
"ap/GTY","GTY","Gettysburg Arpt","US","PA","","GTY","",9,39.83,-77.23
"ap/GUA","GUA","La Aurora Arpt","GT","","","GUA","",2,14.58,-90.53
"ap/GUC","GUC","Gunnison Cty","US","CO","","GUC","",2,38.53,-106.93
"ap/GUF","GUF","Edwards Arpt","US","AL","","GUF","",9,30.29,-87.72
"ap/GUH","GUH","Gunnedah Airport","AU","NS","","GUH","QHF",9,-30.95,150.25
"ap/GUM","GUM","Antonio B Won Pat Intl","GU","","","GUM","",2,13.48,144.73
"ap/GUP","GUP","Gallup Municipal","US","NM","","GUP","",9,35.51,-108.77
"ap/GUR","GUR","Gurney Arpt","PG","","","GUR","",2,-10.33,150.35
"ap/GUT","GUT","Guetersloh Arpt","DE","","","GUT","",9,51.91,8.3
"ap/GUW","GUW","Atyrau Arpt","KZ","","","GUW","",2,47.11,51.9
"ap/GUY","GUY","Guymon Municipal Arpt","US","OK","","GUY","",2,36.68,-101.48
"ap/GVA","GVA","Geneve Cointrin","CH","","","GVA","",2,46.23,6.11
"ap/GVR","GVR","Governador Valadares Arpt","BR","","","GVR","QHF",2,-18.89,-41.98
"ap/GVX","GVX","Sandviken Arpt","SE","","","GVX","",9,60.59,16.95
"ap/GWE","GWE","Gweru Airport","ZW","","","GWE","QHF",9,-19.43,29.86
"ap/GWO","GWO","Leflore Arpt","US","MS","","GWO","",9,33.48,-90.18
"ap/GWS","GWS","Glenwood Springs Arpt","US","CO","","GWS","",9,39.5,-107.3
"ap/GWT","GWT","Westerland Airport","DE","","","GWT","",2,54.9,8.3
"ap/GWY","GWY","Carnmore Arpt","IE","","","GWY","",2,53.3,-8.94
"ap/GXQ","GXQ","Teniente Vidal Arpt","CL","","","GXQ","",9,-45.59,-72.1
"ap/GYD","GYD","Heydar Aliyev Intl Arpt","AZ","","","BAK","QHF",2,40.5,49.98
"ap/GYE","GYE","Simon Bolivar Airport","EC","","","GYE","",2,-2.15,-79.88
"ap/GYI","GYI","Gisenyi Arpt","RW","","","GYI","QHF",2,-1.67,29.25
"ap/GYM","GYM","Gen Jose M Yanez Arpt","MX","","","GYM","",2,27.96,-110.93
"ap/GYN","GYN","Santa Genoveva","BR","","","GYN","",2,-16.66,-49.21
