"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/MIM","MIM","Merimbula Arpt","AU","NS","","MIM","QHF",2,-36.88,149.9
"ap/MIQ","MIQ","Millard Airport","US","NE","","OMA","",9,41.19,-96.11
"ap/MIR","MIR","Habib Bourguiba Intl","TN","","","MIR","",2,35.75,10.75
"ap/MIV","MIV","Millville Arpt","US","NJ","","MIV","",9,39.37,-75.07
"ap/MIW","MIW","Marshalltown Municipal","US","IA","","MIW","",9,42.11,-92.91
"ap/MJD","MJD","Mohenjodaro Arpt","PK","","","MJD","",2,27.38,68.18
"ap/MJF","MJF","Kjaerstad Arpt","NO","","","MJF","",2,65.78,13.21
"ap/MJK","MJK","Shark Bay Arpt","AU","WA","","MJK","QHF",3,-25.88,113.58
"ap/MJN","MJN","Amborovy Arpt","MG","","","MJN","",2,-15.65,46.35
"ap/MJR","MJR","Miramar Arpt","AR","","","MJR","QHF",9,-38.26,-57.85
"ap/MJT","MJT","Mytilene Arpt","GR","","","MJT","",2,39.1,26.55
"ap/MJV","MJV","San Javier Airport","ES","","","MJV","",2,37.77,-0.81
"ap/MJW","MJW","Mahenye Airfield","ZW","","","MJW","",9,-21.23,32.33
"ap/MKA","MKA","Marianske Lazne Arpt","CZ","","","MKA","",9,49.98,12.71
"ap/MKC","MKC","Kansas City Municipal Arpt","US","MO","","MKC","",9,39.12,-94.58
"ap/MKE","MKE","General Mitchell Intl Arpt","US","WI","","MKE","",2,42.94,-87.9
"ap/MKG","MKG","Muskegon Cty Intl","US","MI","","MKG","",2,43.16,-86.23
"ap/MKK","MKK","Molokai Arpt","US","HI","","MKK","",2,21.15,-157.09
"ap/MKL","MKL","McKellar Fld","US","TN","","MKL","",2,35.6,-88.92
"ap/MKM","MKM","Mukah Arpt","MY","","","MKM","",2,2.9,112.06
"ap/MKO","MKO","Davis Field","US","OK","","MKO","",9,35.65,-95.36
"ap/MKR","MKR","Meekatharra Arpt","AU","WA","","MKR","QHF",2,-26.61,118.54
"ap/MKT","MKT","Mankato Municipal Arpt","US","MN","","MKT","",9,44.22,-93.91
"ap/MKX","MKX","Mukalla Arpt","YE","","","MKX","",9,14.53,49.13
"ap/MKY","MKY","Mackay Arpt","AU","QL","","MKY","QHF",2,-21.17,149.18
"ap/MKZ","MKZ","Batu Berendum Arpt","MY","","","MKZ","",9,2.2,102.25
"ap/MLA","MLA","Luqa Airport","MT","","","MLA","",2,35.85,14.49
"ap/MLB","MLB","Melbourne Regional","US","FL","","MLB","",2,28.09,-80.63
"ap/MLC","MLC","McAlester Municipal Arpt","US","OK","","MLC","",9,34.86,-95.78
"ap/MLE","MLE","Male Intl Arpt","MV","","","MLE","",2,4.18,73.53
"ap/MLH","MLH","Mulhouse EuroAirport French","FR","","","MLH","QHF",2,47.6,7.53
"ap/MLI","MLI","Quad City Arpt","US","IL","","MLI","",2,41.45,-90.5
"ap/MLM","MLM","Michoacan Municipal Arpt","MX","","","MLM","",2,19.84,-101.03
"ap/MLN","MLN","Melilla Arpt","ES","","","MLN","",2,35.28,-2.95
"ap/MLS","MLS","Miles City Municipal Arpt","US","MT","","MLS","",2,46.42,-105.88
"ap/MLT","MLT","Millinocket Arpt","US","ME","","MLT","",9,45.65,-68.7
"ap/MLU","MLU","Monroe Regional","US","LA","","MLU","",2,32.52,-92.03
"ap/MLW","MLW","Sprigg Payne Arpt","LR","","ROB","MLW","",2,6.29,-10.75
"ap/MLX","MLX","Malatya Arpt","TR","","","MLX","QHF",3,38.35,38.31
"ap/MLZ","MLZ","Melo Arpt","UY","","","MLZ","QHF",9,-32.33,-54.2
"ap/MMA","MMA","Malmo Metropolitan Area Arpt","SE","","","MMA","",9,55.6,13.06
"ap/MMB","MMB","Memanbetsu Arpt","JP","","","MMB","",2,43.9,144.16
"ap/MMC","MMC","Ciudad Mante Arpt","MX","","","MMC","",9,22.75,-99
"ap/MME","MME","Durham Tees Valley Arpt","GB","","","MME","QHF",2,54.51,-1.42
"ap/MMG","MMG","Mount Magnet Arpt","AU","WA","","MMG","QHF",2,-28.06,117.84
"ap/MMH","MMH","Mammoth Lakes Municipal","US","CA","","MMH","",9,37.62,-118.83
"ap/MMJ","MMJ","Matsumoto Arpt","JP","","","MMJ","",2,36.28,138
"ap/MMK","MMK","Murmansk Arpt","RU","","","MMK","",2,68.96,33.36
"ap/MML","MML","Marshall Municipal","US","MN","","MML","",9,44.44,-95.81
"ap/MMM","MMM","Middlemount Arpt","AU","QL","","MMM","QHF",9,-22.8,148.7
"ap/MMO","MMO","Vila Do Maio Arpt","CV","","","MMO","",2,15.25,-25.16
